CZ211105GT,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,14639104.0,5280768.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),1,FXN,K2Q35-63001,PFLKQC1LMEP0DR,False,True,16384,16384,100
CZ211703NW,4.5.15.9,HPE_3PAR A630,2.0,36608000.0,18643968.0,4.5.15.9,4.5.15.9,4.5.0.35,4.5.15.9,0,FXN,N9Z55-63004,PWDRQB5LMDS05T,True,True,105152,25600,100
CZ212306Y2,4.5.11.14,HPE_3PAR A630,2.0,51251200.0,27657216.0,4.5.11.14,4.5.11.14,4.5.0.35,4.5.11.14,0,FXN,N9Z55-63004,PWDRQB4LMD3032,True,True,105152,25600,100
CZ22080GZ5,4.4.1.7,HPE_3PAR A630,2.0,43929600.0,3556352.0,4.4.1.7,4.4.1.7,4.4.0.47,4.4.0.59,0,FXN,N9Z55-63004,PWDRQB5LMFD0DW,False,True,105152,25600,100
CZ220909TQ,9.5.21.3,HPE Alletra 9060,4.0,205062144.0,120612864.0,9.5.21.3,9.5.21.3,4.5.0.35,9.5.15.9,0,FXN,R0P00-63001,PWRCEC6LMEZ00S,False,True,210624,51200,100
CZ22150HNS,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,29286400.0,22786048.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),1,FXN,K2Q35-63001,PFLKQC1LMET066,False,True,16384,16384,100
CZ22250FZQ,4.5.15.9,HPE_3PAR A650,2.0,117178368.0,23235584.0,4.5.15.9,4.5.15.9,4.5.0.35,4.5.15.9,1,FXN,N9Z57-63003,PWRCKB5LMGM0GM,False,True,210624,51200,100
CZ22250JC4,4.5.15.9,HPE_3PAR A630,2.0,36597760.0,30815232.0,4.5.15.9,4.5.15.9,4.5.0.35,4.5.15.9,1,FXN,N9Z55-63004,PWDRQB5LMGL02R,False,True,105152,25600,100
CZ222706HB,4.5.11.14,HPE_3PAR A650,4.0,175767552.0,48789504.0,4.5.11.14,4.5.11.14,4.5.0.35,4.5.11.14,2,FXN,N9Z57-63003,PWRCKB5LMGL001,False,True,210624,51200,100
CZ22290915,4.5.15.9,HPE_3PAR A630,2.0,43917312.0,12100608.0,4.5.15.9,4.5.15.9,4.5.0.35,4.5.15.9,0,FXN,N9Z55-63004,PWDRQB5LMGN0BC,True,True,105152,25600,100
CZ2236050Q,9.5.21.3,HPE Alletra 9060,2.0,87883776.0,32302080.0,9.5.21.3,9.5.21.3,4.5.0.35,9.5.15.9,0,FXN,R0P00-63001,PWRCED4LMGU01L,False,True,210624,51200,100
CZ22360JYD,4.5.7.8,HPE_3PAR A630,2.0,58572800.0,30897152.0,4.5.7.8,4.5.7.8,4.5.0.35,4.5.7.8,1,FXN,N9Z55-63004,PWDRQB5LMGF06M,False,True,105152,25600,100
CZ224107VJ,4.5.15.9,HPE_3PAR A650,4.0,117145600.0,84899840.0,4.5.15.9,4.5.15.9,4.5.0.35,4.5.15.9,3,FXN,N9Z57-63003,PWRCKD5LMH2031,False,True,210624,51200,100
CZ22470410,9.5.15.9,HPE Alletra 9080,4.0,1377533952.0,1174214656.0,9.5.15.9,9.5.15.9,4.5.0.35,9.5.15.9,0,FXN,R0N95-63001,PWRCED5LMH501S,True,True,675520,109568,100
CZ2301017V,4.5.11.14,HPE_3PAR C650,2.0,190343168.0,56057856.0,4.5.11.14,4.5.11.14,4.5.0.35,4.5.11.14,0,FXN,N9Z57-63003,PWRCKD5LMH809P,True,True,206528,55296,100
CZ230102QD,4.5.21.3,HPE_3PAR C630,2.0,50325504.0,30958592.0,4.5.21.3,4.5.21.3,4.5.0.35,4.5.15.9,1,FXN,N9Z55-63004,PWDRQC5LMH90GW,False,True,105152,25600,100
CZ23010K7Q,4.5.15.9,HPE_3PAR A630,2.0,29286400.0,20511744.0,4.5.15.9,4.5.15.9,4.5.0.35,4.5.15.9,0,FXN,N9Z55-63004,PWDRQC5LMH6070,True,True,105152,25600,100
CZ23090F4X,9.5.15.9,HPE Alletra 9060,4.0,937426944.0,503453696.0,9.5.15.9,9.5.15.9,4.5.0.35,9.5.15.9,2,FXN,R0P00-63001,PWRCED5LMHA0AX,False,True,210624,51200,100
CZ23120DFN,4.5.7.8,HPE_3PAR C630,2.0,36597760.0,25003008.0,4.5.7.8,4.5.7.8,4.5.0.35,4.5.7.8,0,FXN,N9Z55-63004,PWDRQC5LMHF00I,True,True,105152,25600,100
CZ231800T9,4.5.11.14,HPE_3PAR C650,2.0,58572800.0,5811200.0,4.5.11.14,4.5.11.14,4.5.0.35,4.5.11.14,1,FXN,N9Z57-63003,PWRCKB4LMD505W,False,True,206528,55296,100
CZ23180828,9.5.15.9,HPE Alletra 9060,2.0,131825664.0,41714688.0,9.5.15.9,9.5.15.9,4.5.0.35,9.5.15.9,0,FXN,R0P00-63001,PWRCED5LMHA0E5,True,True,210624,51200,100
