,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
85,,800-200012.02,,CNX24904XK,CHN,,3,,,0,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
86,,800-200012.02,,CNX24904XK,CHN,,3,,,0,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
87,,800-200012.02,,CNX24904XK,CHN,,3,,,0,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
88,,800-200012.02,,CNX24904XK,CHN,,0,,,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
89,,800-200012.02,,CNX24904XK,CHN,,0,,,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
90,,800-200012.02,,CNX24904XK,CHN,,0,,,0,0603,1,n/a,IOM 1,n/a,N9Z50A,DCS12
91,,800-200012.02,,CNX24904XK,CHN,,0,,,0,0603,1,n/a,IOM 1,n/a,N9Z50A,DCS12
92,,800-200012.02,,CNX24904XK,CHN,,0,,,0,0603,1,n/a,IOM 1,n/a,N9Z50A,DCS12
93,,800-200012.02,,CNX24904XK,CHN,,1,,,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
94,,800-200012.02,,CNX24904XK,CHN,,1,,,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
95,,800-200012.02,,CNX24904XK,CHN,,1,,,0,0603,1,n/a,IOM 1,n/a,N9Z50A,DCS12
96,,800-200012.02,,CNX24904XK,CHN,,1,,,0,0603,1,n/a,IOM 1,n/a,N9Z50A,DCS12
97,,800-200012.02,,CNX24904XK,CHN,,1,,,0,0603,1,n/a,IOM 1,n/a,N9Z50A,DCS12
98,,800-200012.02,,CNX24904XK,CHN,,2,,,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
99,,800-200012.02,,CNX24904XK,CHN,,2,,,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
100,,800-200012.02,,CNX24904XK,CHN,,2,,,0,0603,1,n/a,IOM 1,n/a,N9Z50A,DCS12
101,,800-200012.02,,CNX24904XK,CHN,,2,,,0,0603,1,n/a,IOM 1,n/a,N9Z50A,DCS12
102,,800-200012.02,,CNX24904XK,CHN,,2,,,0,0603,1,n/a,IOM 1,n/a,N9Z50A,DCS12
103,,800-200012.02,,CNX24904XK,CHN,,3,,,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
104,,800-200012.02,,CNX24904XK,CHN,,3,,,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
105,,800-200012.02,,CNX24904XK,CHN,,3,,,0,0603,1,n/a,IOM 1,n/a,N9Z50A,DCS12
106,,800-200012.02,,CNX24904XK,CHN,,3,,,0,0603,1,n/a,IOM 1,n/a,N9Z50A,DCS12
107,,800-200012.02,,CNX24904XK,CHN,,3,,,0,0603,1,n/a,IOM 1,n/a,N9Z50A,DCS12
108,,800-200012.02,,CNX24904XK,CHN,,0,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
109,,800-200012.02,,CNX24904XK,CHN,,0,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
110,,800-200012.02,,CNX24904XK,CHN,,0,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
111,,800-200012.02,,CNX24904XK,CHN,,0,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
112,,800-200012.02,,CNX24904XK,CHN,,0,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
113,,800-200012.02,,CNX24904XK,CHN,,1,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
114,,800-200012.02,,CNX24904XK,CHN,,1,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
115,,800-200012.02,,CNX24904XK,CHN,,1,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
116,,800-200012.02,,CNX24904XK,CHN,,1,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
117,,800-200012.02,,CNX24904XK,CHN,,1,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
118,,800-200012.02,,CNX24904XK,CHN,,2,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
119,,800-200012.02,,CNX24904XK,CHN,,2,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
120,,800-200012.02,,CNX24904XK,CHN,,2,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
121,,800-200012.02,,CNX24904XK,CHN,,2,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
122,,800-200012.02,,CNX24904XK,CHN,,2,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
123,,800-200012.02,,CNX24904XK,CHN,,3,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
124,,800-200012.02,,CNX24904XK,CHN,,3,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
125,,800-200012.02,,CNX24904XK,CHN,,3,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
126,,800-200012.02,,CNX24904XK,CHN,,3,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
127,,800-200012.02,,CNX24904XK,CHN,,3,,,4,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
128,,800-200012.02,,CNX24904XK,CHN,,0,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
129,,800-200012.02,,CNX24904XK,CHN,,0,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
130,,800-200012.02,,CNX24904XK,CHN,,0,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
131,,800-200012.02,,CNX24904XK,CHN,,0,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
132,,800-200012.02,,CNX24904XK,CHN,,0,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
133,,800-200012.02,,CNX24904XK,CHN,,1,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
134,,800-200012.02,,CNX24904XK,CHN,,1,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
135,,800-200012.02,,CNX24904XK,CHN,,1,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
136,,800-200012.02,,CNX24904XK,CHN,,1,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
137,,800-200012.02,,CNX24904XK,CHN,,1,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
138,,800-200012.02,,CNX24904XK,CHN,,2,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
139,,800-200012.02,,CNX24904XK,CHN,,2,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
140,,800-200012.02,,CNX24904XK,CHN,,2,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
141,,800-200012.02,,CNX24904XK,CHN,,2,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
142,,800-200012.02,,CNX24904XK,CHN,,2,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
143,,800-200012.02,,CNX24904XK,CHN,,3,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
144,,800-200012.02,,CNX24904XK,CHN,,3,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
145,,800-200012.02,,CNX24904XK,CHN,,3,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
146,,800-200012.02,,CNX24904XK,CHN,,3,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
147,,800-200012.02,,CNX24904XK,CHN,,3,,,4,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
148,,800-200012.02,,CNX24904XK,CHN,,0,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
149,,800-200012.02,,CNX24904XK,CHN,,0,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
150,,800-200012.02,,CNX24904XK,CHN,,0,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
151,,800-200012.02,,CNX24904XK,CHN,,0,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
152,,800-200012.02,,CNX24904XK,CHN,,0,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
153,,800-200012.02,,CNX24904XK,CHN,,1,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
154,,800-200012.02,,CNX24904XK,CHN,,1,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
155,,800-200012.02,,CNX24904XK,CHN,,1,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
156,,800-200012.02,,CNX24904XK,CHN,,1,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
157,,800-200012.02,,CNX24904XK,CHN,,1,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
158,,800-200012.02,,CNX24904XK,CHN,,2,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
159,,800-200012.02,,CNX24904XK,CHN,,2,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
160,,800-200012.02,,CNX24904XK,CHN,,2,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
161,,800-200012.02,,CNX24904XK,CHN,,2,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
162,,800-200012.02,,CNX24904XK,CHN,,2,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
163,,800-200012.02,,CNX24904XK,CHN,,3,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
164,,800-200012.02,,CNX24904XK,CHN,,3,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
165,,800-200012.02,,CNX24904XK,CHN,,3,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
166,,800-200012.02,,CNX24904XK,CHN,,3,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
167,,800-200012.02,,CNX24904XK,CHN,,3,,,3,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
168,,800-200012.02,,CNX24904XK,CHN,,0,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
169,,800-200012.02,,CNX24904XK,CHN,,0,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
170,,800-200012.02,,CNX24904XK,CHN,,0,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
171,,800-200012.02,,CNX24904XK,CHN,,0,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
172,,800-200012.02,,CNX24904XK,CHN,,0,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
173,,800-200012.02,,CNX24904XK,CHN,,1,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
174,,800-200012.02,,CNX24904XK,CHN,,1,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
175,,800-200012.02,,CNX24904XK,CHN,,1,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
176,,800-200012.02,,CNX24904XK,CHN,,1,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
177,,800-200012.02,,CNX24904XK,CHN,,1,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
178,,800-200012.02,,CNX24904XK,CHN,,2,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
179,,800-200012.02,,CNX24904XK,CHN,,2,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
