135,800-200012.02,CNX24303LF,CHN,1,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
136,800-200012.02,CNX24303LL,CHN,0,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
137,800-200012.02,CNX24303LL,CHN,0,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
138,800-200012.02,CNX24303LL,CHN,1,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
139,800-200012.02,CNX24303LL,CHN,1,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
140,800-200012.02,CNX24303LL,CHN,2,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
141,800-200012.02,CNX24303LL,CHN,2,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
142,800-200012.02,CNX24303LL,CHN,3,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
143,800-200012.02,CNX24303LL,CHN,3,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
144,800-200012.02,CNX24303LL,CHN,0,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
145,800-200012.02,CNX24303LL,CHN,0,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
146,800-200012.02,CNX24303LL,CHN,1,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
147,800-200012.02,CNX24303LL,CHN,1,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
148,800-200012.02,CNX24303LL,CHN,2,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
149,800-200012.02,CNX24303LL,CHN,2,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
150,800-200012.02,CNX24303LL,CHN,3,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
151,800-200012.02,CNX24303LL,CHN,3,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
152,800-200012.02,CNX24303LL,CHN,0,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
153,800-200012.02,CNX24303LL,CHN,0,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
154,800-200012.02,CNX24303LL,CHN,1,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
155,800-200012.02,CNX24303LL,CHN,1,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
156,800-200012.02,CNX24303LL,CHN,2,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
157,800-200012.02,CNX24303LL,CHN,2,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
158,800-200012.02,CNX24303LL,CHN,3,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
159,800-200012.02,CNX24303LL,CHN,3,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
